"total env step","12-33-38_halfcheetah-medium-v2_dipo_diffusion_mlp_ta4_td20 - _step","12-33-38_halfcheetah-medium-v2_dipo_diffusion_mlp_ta4_td20 - _step__MIN","12-33-38_halfcheetah-medium-v2_dipo_diffusion_mlp_ta4_td20 - _step__MAX","12-33-38_halfcheetah-medium-v2_dipo_diffusion_mlp_ta4_td20 - avg episode reward - train","12-33-38_halfcheetah-medium-v2_dipo_diffusion_mlp_ta4_td20 - avg episode reward - train__MIN","12-33-38_halfcheetah-medium-v2_dipo_diffusion_mlp_ta4_td20 - avg episode reward - train__MAX","12-32-02_halfcheetah-medium-v2_clone_diffusion_mlp_ta4_td20 - _step","12-32-02_halfcheetah-medium-v2_clone_diffusion_mlp_ta4_td20 - _step__MIN","12-32-02_halfcheetah-medium-v2_clone_diffusion_mlp_ta4_td20 - _step__MAX","12-32-02_halfcheetah-medium-v2_clone_diffusion_mlp_ta4_td20 - avg episode reward - train","12-32-02_halfcheetah-medium-v2_clone_diffusion_mlp_ta4_td20 - avg episode reward - train__MIN","12-32-02_halfcheetah-medium-v2_clone_diffusion_mlp_ta4_td20 - avg episode reward - train__MAX","05-18-26_halfcheetah-medium-v2_dipo_diffusion_mlp_ta4_td20 - _step","05-18-26_halfcheetah-medium-v2_dipo_diffusion_mlp_ta4_td20 - _step__MIN","05-18-26_halfcheetah-medium-v2_dipo_diffusion_mlp_ta4_td20 - _step__MAX","05-18-26_halfcheetah-medium-v2_dipo_diffusion_mlp_ta4_td20 - avg episode reward - train","05-18-26_halfcheetah-medium-v2_dipo_diffusion_mlp_ta4_td20 - avg episode reward - train__MIN","05-18-26_halfcheetah-medium-v2_dipo_diffusion_mlp_ta4_td20 - avg episode reward - train__MAX","23-44-59_halfcheetah-medium-v2_clone_diffusion_mlp_ta4_td20 - _step","23-44-59_halfcheetah-medium-v2_clone_diffusion_mlp_ta4_td20 - _step__MIN","23-44-59_halfcheetah-medium-v2_clone_diffusion_mlp_ta4_td20 - _step__MAX","23-44-59_halfcheetah-medium-v2_clone_diffusion_mlp_ta4_td20 - avg episode reward - train","23-44-59_halfcheetah-medium-v2_clone_diffusion_mlp_ta4_td20 - avg episode reward - train__MIN","23-44-59_halfcheetah-medium-v2_clone_diffusion_mlp_ta4_td20 - avg episode reward - train__MAX","23-44-53_halfcheetah-medium-v2_vpg_diffusion_mlp_ta4_td20_tdf10 - _step","23-44-53_halfcheetah-medium-v2_vpg_diffusion_mlp_ta4_td20_tdf10 - _step__MIN","23-44-53_halfcheetah-medium-v2_vpg_diffusion_mlp_ta4_td20_tdf10 - _step__MAX","23-44-53_halfcheetah-medium-v2_vpg_diffusion_mlp_ta4_td20_tdf10 - avg episode reward - train","23-44-53_halfcheetah-medium-v2_vpg_diffusion_mlp_ta4_td20_tdf10 - avg episode reward - train__MIN","23-44-53_halfcheetah-medium-v2_vpg_diffusion_mlp_ta4_td20_tdf10 - avg episode reward - train__MAX","23-44-46_halfcheetah-medium-v2_ppo_ddim_diffusion_mlp_ta4_td20_tdf10 - _step","23-44-46_halfcheetah-medium-v2_ppo_ddim_diffusion_mlp_ta4_td20_tdf10 - _step__MIN","23-44-46_halfcheetah-medium-v2_ppo_ddim_diffusion_mlp_ta4_td20_tdf10 - _step__MAX","23-44-46_halfcheetah-medium-v2_ppo_ddim_diffusion_mlp_ta4_td20_tdf10 - avg episode reward - train","23-44-46_halfcheetah-medium-v2_ppo_ddim_diffusion_mlp_ta4_td20_tdf10 - avg episode reward - train__MIN","23-44-46_halfcheetah-medium-v2_ppo_ddim_diffusion_mlp_ta4_td20_tdf10 - avg episode reward - train__MAX","23-44-40_halfcheetah-medium-v2_ppo_diffusion_mlp_ta4_td20_tdf10 - _step","23-44-40_halfcheetah-medium-v2_ppo_diffusion_mlp_ta4_td20_tdf10 - _step__MIN","23-44-40_halfcheetah-medium-v2_ppo_diffusion_mlp_ta4_td20_tdf10 - _step__MAX","23-44-40_halfcheetah-medium-v2_ppo_diffusion_mlp_ta4_td20_tdf10 - avg episode reward - train","23-44-40_halfcheetah-medium-v2_ppo_diffusion_mlp_ta4_td20_tdf10 - avg episode reward - train__MIN","23-44-40_halfcheetah-medium-v2_ppo_diffusion_mlp_ta4_td20_tdf10 - avg episode reward - train__MAX"
"80000","1","1","1","3968.3055919100384","3968.3055919100384","3968.3055919100384","1","1","1","3993.6158121396124","3993.6158121396124","3993.6158121396124","1","1","1","3850.1387497291144","3850.1387497291144","3850.1387497291144","1","1","1","3968.279121107765","3968.279121107765","3968.279121107765","1","1","1","3936.323540057012","3936.323540057012","3936.323540057012","1","1","1","3427.9878649361126","3427.9878649361126","3427.9878649361126","1","1","1","3808.4837753445922","3808.4837753445922","3808.4837753445922"
"160000","2","2","2","3969.3047593152105","3969.3047593152105","3969.3047593152105","2","2","2","3949.5996544093878","3949.5996544093878","3949.5996544093878","2","2","2","3898.5929386655407","3898.5929386655407","3898.5929386655407","2","2","2","3763.785615962382","3763.785615962382","3763.785615962382","2","2","2","4043.4749896227527","4043.4749896227527","4043.4749896227527","2","2","2","3492.583284475004","3492.583284475004","3492.583284475004","2","2","2","3984.748796426715","3984.748796426715","3984.748796426715"
"240000","3","3","3","3967.179526874597","3967.179526874597","3967.179526874597","3","3","3","4068.4351608199986","4068.4351608199986","4068.4351608199986","3","3","3","3955.609635158836","3955.609635158836","3955.609635158836","3","3","3","3888.8422583798397","3888.8422583798397","3888.8422583798397","3","3","3","3953.1484968584264","3953.1484968584264","3953.1484968584264","3","3","3","3359.8501107874426","3359.8501107874426","3359.8501107874426","3","3","3","3941.9041900392185","3941.9041900392185","3941.9041900392185"
"320000","4","4","4","4013.3703927632364","4013.3703927632364","4013.3703927632364","4","4","4","3885.4986821700136","3885.4986821700136","3885.4986821700136","4","4","4","3958.8081924607964","3958.8081924607964","3958.8081924607964","4","4","4","4059.3067007964855","4059.3067007964855","4059.3067007964855","4","4","4","3854.1574378747455","3854.1574378747455","3854.1574378747455","4","4","4","3382.2419018689498","3382.2419018689498","3382.2419018689498","4","4","4","4010.866653067262","4010.866653067262","4010.866653067262"
"400000","5","5","5","4038.97096895117","4038.97096895117","4038.97096895117","5","5","5","4000.8488991728263","4000.8488991728263","4000.8488991728263","5","5","5","4019.253782292838","4019.253782292838","4019.253782292838","5","5","5","3934.7191501369393","3934.7191501369393","3934.7191501369393","5","5","5","3958.930794842385","3958.930794842385","3958.930794842385","5","5","5","3494.8097456600326","3494.8097456600326","3494.8097456600326","5","5","5","4104.234285314305","4104.234285314305","4104.234285314305"
"480000","6","6","6","4004.8486695256206","4004.8486695256206","4004.8486695256206","6","6","6","3928.103883705492","3928.103883705492","3928.103883705492","6","6","6","3837.8142240699854","3837.8142240699854","3837.8142240699854","6","6","6","3814.0475377728094","3814.0475377728094","3814.0475377728094","6","6","6","3913.5687648246776","3913.5687648246776","3913.5687648246776","6","6","6","3519.241236801977","3519.241236801977","3519.241236801977","6","6","6","4106.141756270155","4106.141756270155","4106.141756270155"
"560000","7","7","7","3944.8129378887124","3944.8129378887124","3944.8129378887124","7","7","7","3923.7255206740106","3923.7255206740106","3923.7255206740106","7","7","7","3890.5480108751135","3890.5480108751135","3890.5480108751135","7","7","7","3881.173881589379","3881.173881589379","3881.173881589379","7","7","7","4018.010900007231","4018.010900007231","4018.010900007231","7","7","7","3682.298189668062","3682.298189668062","3682.298189668062","7","7","7","3974.73700478071","3974.73700478071","3974.73700478071"
"640000","8","8","8","3867.468539703721","3867.468539703721","3867.468539703721","8","8","8","3922.072968485604","3922.072968485604","3922.072968485604","8","8","8","3928.9362256815425","3928.9362256815425","3928.9362256815425","8","8","8","3855.0418792816345","3855.0418792816345","3855.0418792816345","8","8","8","3881.308221669814","3881.308221669814","3881.308221669814","8","8","8","3561.700674675594","3561.700674675594","3561.700674675594","8","8","8","4051.318254877647","4051.318254877647","4051.318254877647"
"720000","9","9","9","4078.539428652485","4078.539428652485","4078.539428652485","9","9","9","3847.6737976703284","3847.6737976703284","3847.6737976703284","9","9","9","3950.821585158861","3950.821585158861","3950.821585158861","9","9","9","3904.778317669341","3904.778317669341","3904.778317669341","9","9","9","3934.2660302981226","3934.2660302981226","3934.2660302981226","9","9","9","3708.8123820793007","3708.8123820793007","3708.8123820793007","9","9","9","4085.7154322372435","4085.7154322372435","4085.7154322372435"
"800000","11","11","11","3893.3126144725857","3893.3126144725857","3893.3126144725857","11","11","11","4071.479983728849","4071.479983728849","4071.479983728849","11","11","11","3927.7112846336518","3927.7112846336518","3927.7112846336518","11","11","11","3980.500851792431","3980.500851792431","3980.500851792431","11","11","11","4094.709653507637","4094.709653507637","4094.709653507637","11","11","11","3575.844407160632","3575.844407160632","3575.844407160632","11","11","11","4039.5010703128964","4039.5010703128964","4039.5010703128964"
"880000","12","12","12","4026.7283571617154","4026.7283571617154","4026.7283571617154","12","12","12","3959.963192437355","3959.963192437355","3959.963192437355","12","12","12","4029.447735566972","4029.447735566972","4029.447735566972","12","12","12","3918.3061661296","3918.3061661296","3918.3061661296","12","12","12","3963.8988696170913","3963.8988696170913","3963.8988696170913","12","12","12","3740.624446277702","3740.624446277702","3740.624446277702","12","12","12","4066.660021242369","4066.660021242369","4066.660021242369"
"960000","13","13","13","3980.0011485474924","3980.0011485474924","3980.0011485474924","13","13","13","3989.8286365035106","3989.8286365035106","3989.8286365035106","13","13","13","3944.9871997901364","3944.9871997901364","3944.9871997901364","13","13","13","3964.2241270033264","3964.2241270033264","3964.2241270033264","13","13","13","3998.781454470455","3998.781454470455","3998.781454470455","13","13","13","3731.0450199533893","3731.0450199533893","3731.0450199533893","13","13","13","4203.370363685681","4203.370363685681","4203.370363685681"
"1040000","14","14","14","4055.935465907953","4055.935465907953","4055.935465907953","14","14","14","4049.149216943327","4049.149216943327","4049.149216943327","14","14","14","3923.755135952425","3923.755135952425","3923.755135952425","14","14","14","3932.209236871866","3932.209236871866","3932.209236871866","14","14","14","4119.1967594173575","4119.1967594173575","4119.1967594173575","14","14","14","3655.5367801532257","3655.5367801532257","3655.5367801532257","14","14","14","4116.101452683656","4116.101452683656","4116.101452683656"
"1120000","15","15","15","4076.1493359763795","4076.1493359763795","4076.1493359763795","15","15","15","4049.8936525451527","4049.8936525451527","4049.8936525451527","15","15","15","3976.3790255712725","3976.3790255712725","3976.3790255712725","15","15","15","3920.312719348709","3920.312719348709","3920.312719348709","15","15","15","4122.1526211242","4122.1526211242","4122.1526211242","15","15","15","3781.0303990162547","3781.0303990162547","3781.0303990162547","15","15","15","4250.936461018529","4250.936461018529","4250.936461018529"
"1200000","16","16","16","4012.2246594536664","4012.2246594536664","4012.2246594536664","16","16","16","3997.729727210912","3997.729727210912","3997.729727210912","16","16","16","3903.0081141030546","3903.0081141030546","3903.0081141030546","16","16","16","3887.4238389600405","3887.4238389600405","3887.4238389600405","16","16","16","4097.54140575855","4097.54140575855","4097.54140575855","16","16","16","3664.8646002915907","3664.8646002915907","3664.8646002915907","16","16","16","4078.836114686349","4078.836114686349","4078.836114686349"
