"total env step","12-31-06_hopper-medium-v2_dipo_diffusion_mlp_ta4_td20 - _step","12-31-06_hopper-medium-v2_dipo_diffusion_mlp_ta4_td20 - _step__MIN","12-31-06_hopper-medium-v2_dipo_diffusion_mlp_ta4_td20 - _step__MAX","12-31-06_hopper-medium-v2_dipo_diffusion_mlp_ta4_td20 - avg episode reward - train","12-31-06_hopper-medium-v2_dipo_diffusion_mlp_ta4_td20 - avg episode reward - train__MIN","12-31-06_hopper-medium-v2_dipo_diffusion_mlp_ta4_td20 - avg episode reward - train__MAX","12-29-44_hopper-medium-v2_clone_diffusion_mlp_ta4_td20 - _step","12-29-44_hopper-medium-v2_clone_diffusion_mlp_ta4_td20 - _step__MIN","12-29-44_hopper-medium-v2_clone_diffusion_mlp_ta4_td20 - _step__MAX","12-29-44_hopper-medium-v2_clone_diffusion_mlp_ta4_td20 - avg episode reward - train","12-29-44_hopper-medium-v2_clone_diffusion_mlp_ta4_td20 - avg episode reward - train__MIN","12-29-44_hopper-medium-v2_clone_diffusion_mlp_ta4_td20 - avg episode reward - train__MAX","05-17-52_hopper-medium-v2_dipo_diffusion_mlp_ta4_td20 - _step","05-17-52_hopper-medium-v2_dipo_diffusion_mlp_ta4_td20 - _step__MIN","05-17-52_hopper-medium-v2_dipo_diffusion_mlp_ta4_td20 - _step__MAX","05-17-52_hopper-medium-v2_dipo_diffusion_mlp_ta4_td20 - avg episode reward - train","05-17-52_hopper-medium-v2_dipo_diffusion_mlp_ta4_td20 - avg episode reward - train__MIN","05-17-52_hopper-medium-v2_dipo_diffusion_mlp_ta4_td20 - avg episode reward - train__MAX","23-42-39_hopper-medium-v2_ppo_ddim_diffusion_mlp_ta4_td20_tdf10 - _step","23-42-39_hopper-medium-v2_ppo_ddim_diffusion_mlp_ta4_td20_tdf10 - _step__MIN","23-42-39_hopper-medium-v2_ppo_ddim_diffusion_mlp_ta4_td20_tdf10 - _step__MAX","23-42-39_hopper-medium-v2_ppo_ddim_diffusion_mlp_ta4_td20_tdf10 - avg episode reward - train","23-42-39_hopper-medium-v2_ppo_ddim_diffusion_mlp_ta4_td20_tdf10 - avg episode reward - train__MIN","23-42-39_hopper-medium-v2_ppo_ddim_diffusion_mlp_ta4_td20_tdf10 - avg episode reward - train__MAX","18-11-48_hopper-medium-v2_vpg_diffusion_mlp_ta4_td20_tdf10 - _step","18-11-48_hopper-medium-v2_vpg_diffusion_mlp_ta4_td20_tdf10 - _step__MIN","18-11-48_hopper-medium-v2_vpg_diffusion_mlp_ta4_td20_tdf10 - _step__MAX","18-11-48_hopper-medium-v2_vpg_diffusion_mlp_ta4_td20_tdf10 - avg episode reward - train","18-11-48_hopper-medium-v2_vpg_diffusion_mlp_ta4_td20_tdf10 - avg episode reward - train__MIN","18-11-48_hopper-medium-v2_vpg_diffusion_mlp_ta4_td20_tdf10 - avg episode reward - train__MAX","18-11-38_hopper-medium-v2_ppo_diffusion_mlp_ta4_td20_tdf10 - _step","18-11-38_hopper-medium-v2_ppo_diffusion_mlp_ta4_td20_tdf10 - _step__MIN","18-11-38_hopper-medium-v2_ppo_diffusion_mlp_ta4_td20_tdf10 - _step__MAX","18-11-38_hopper-medium-v2_ppo_diffusion_mlp_ta4_td20_tdf10 - avg episode reward - train","18-11-38_hopper-medium-v2_ppo_diffusion_mlp_ta4_td20_tdf10 - avg episode reward - train__MIN","18-11-38_hopper-medium-v2_ppo_diffusion_mlp_ta4_td20_tdf10 - avg episode reward - train__MAX","17-58-08_hopper-medium-v2_clone_diffusion_mlp_ta4_td20 - _step","17-58-08_hopper-medium-v2_clone_diffusion_mlp_ta4_td20 - _step__MIN","17-58-08_hopper-medium-v2_clone_diffusion_mlp_ta4_td20 - _step__MAX","17-58-08_hopper-medium-v2_clone_diffusion_mlp_ta4_td20 - avg episode reward - train","17-58-08_hopper-medium-v2_clone_diffusion_mlp_ta4_td20 - avg episode reward - train__MIN","17-58-08_hopper-medium-v2_clone_diffusion_mlp_ta4_td20 - avg episode reward - train__MAX"
"80000","1","1","1","1261.6281144852708","1261.6281144852708","1261.6281144852708","1","1","1","1230.8779857327563","1230.8779857327563","1230.8779857327563","1","1","1","1222.8469720644619","1222.8469720644619","1222.8469720644619","1","1","1","1221.975425598224","1221.975425598224","1221.975425598224","1","1","1","1248.3642691663215","1248.3642691663215","1248.3642691663215","1","1","1","1238.5635082263996","1238.5635082263996","1238.5635082263996","1","1","1","1202.0491450503755","1202.0491450503755","1202.0491450503755"
"160000","2","2","2","1267.8839614522744","1267.8839614522744","1267.8839614522744","2","2","2","1210.50433521622","1210.50433521622","1210.50433521622","2","2","2","1254.3790871256301","1254.3790871256301","1254.3790871256301","2","2","2","1208.105864320895","1208.105864320895","1208.105864320895","2","2","2","1244.2239157469296","1244.2239157469296","1244.2239157469296","2","2","2","1252.9099579108117","1252.9099579108117","1252.9099579108117","2","2","2","1274.8234184334478","1274.8234184334478","1274.8234184334478"
"240000","3","3","3","1262.149731375811","1262.149731375811","1262.149731375811","3","3","3","1251.1165711980454","1251.1165711980454","1251.1165711980454","3","3","3","1248.1666831420096","1248.1666831420096","1248.1666831420096","3","3","3","1289.1428941274742","1289.1428941274742","1289.1428941274742","3","3","3","1258.9350034419267","1258.9350034419267","1258.9350034419267","3","3","3","1301.2310058356702","1301.2310058356702","1301.2310058356702","3","3","3","1251.8112100245066","1251.8112100245066","1251.8112100245066"
"320000","4","4","4","1249.3221354186435","1249.3221354186435","1249.3221354186435","4","4","4","1252.579843628129","1252.579843628129","1252.579843628129","4","4","4","1225.2677291065506","1225.2677291065506","1225.2677291065506","4","4","4","1223.8747046231936","1223.8747046231936","1223.8747046231936","4","4","4","1255.7941129195112","1255.7941129195112","1255.7941129195112","4","4","4","1305.277505740113","1305.277505740113","1305.277505740113","4","4","4","1243.8718859942658","1243.8718859942658","1243.8718859942658"
"400000","5","5","5","1243.8802828430796","1243.8802828430796","1243.8802828430796","5","5","5","1227.6973418640719","1227.6973418640719","1227.6973418640719","5","5","5","1266.9744136813229","1266.9744136813229","1266.9744136813229","5","5","5","1287.7203218070754","1287.7203218070754","1287.7203218070754","5","5","5","1312.5754914089957","1312.5754914089957","1312.5754914089957","5","5","5","1308.923924236701","1308.923924236701","1308.923924236701","5","5","5","1247.7225067805728","1247.7225067805728","1247.7225067805728"
"480000","6","6","6","1150.0894634948463","1150.0894634948463","1150.0894634948463","6","6","6","1174.0386906308092","1174.0386906308092","1174.0386906308092","6","6","6","1199.164437162585","1199.164437162585","1199.164437162585","6","6","6","1295.8456281862925","1295.8456281862925","1295.8456281862925","6","6","6","1294.0071681700538","1294.0071681700538","1294.0071681700538","6","6","6","1343.6281711515537","1343.6281711515537","1343.6281711515537","6","6","6","1190.2496749397462","1190.2496749397462","1190.2496749397462"
"560000","7","7","7","1192.9929492744932","1192.9929492744932","1192.9929492744932","7","7","7","1218.673962275311","1218.673962275311","1218.673962275311","7","7","7","1177.4151865023346","1177.4151865023346","1177.4151865023346","7","7","7","1275.5810018135771","1275.5810018135771","1275.5810018135771","7","7","7","1333.8290739335555","1333.8290739335555","1333.8290739335555","7","7","7","1354.4697533887747","1354.4697533887747","1354.4697533887747","7","7","7","1144.5631360455388","1144.5631360455388","1144.5631360455388"
"640000","8","8","8","1176.1537937351677","1176.1537937351677","1176.1537937351677","8","8","8","1170.6719933040893","1170.6719933040893","1170.6719933040893","8","8","8","1168.617764381317","1168.617764381317","1168.617764381317","8","8","8","1332.71887319498","1332.71887319498","1332.71887319498","8","8","8","1310.6074831760964","1310.6074831760964","1310.6074831760964","8","8","8","1385.7492264560735","1385.7492264560735","1385.7492264560735","8","8","8","1161.8392592077316","1161.8392592077316","1161.8392592077316"
"720000","9","9","9","1181.9224432256717","1181.9224432256717","1181.9224432256717","9","9","9","1160.3874597448855","1160.3874597448855","1160.3874597448855","9","9","9","1141.406006399227","1141.406006399227","1141.406006399227","9","9","9","1308.7804178481194","1308.7804178481194","1308.7804178481194","9","9","9","1314.946674884719","1314.946674884719","1314.946674884719","9","9","9","1395.5947661631778","1395.5947661631778","1395.5947661631778","9","9","9","1165.8810935440479","1165.8810935440479","1165.8810935440479"
"800000","11","11","11","1186.4180471287525","1186.4180471287525","1186.4180471287525","11","11","11","1172.202462189383","1172.202462189383","1172.202462189383","11","11","11","1185.4432961344723","1185.4432961344723","1185.4432961344723","11","11","11","1327.5658150945212","1327.5658150945212","1327.5658150945212","11","11","11","1329.6298557793764","1329.6298557793764","1329.6298557793764","11","11","11","1387.675517266283","1387.675517266283","1387.675517266283","11","11","11","1190.3549776054424","1190.3549776054424","1190.3549776054424"
